Time,NodeName,Port,QueueIndex,Length
+4.9e+07ns,host3,1,0,9
+4.9e+07ns,host3,2,0,0
+4.9e+07ns,host4,0,0,5
+4.9e+07ns,host4,1,0,0
+5e+07ns,host0,0,0,7
+5e+07ns,host0,1,0,0
+5e+07ns,host1,0,0,0
+5e+07ns,host1,1,0,0
+5e+07ns,host1,2,0,7
+5e+07ns,host2,0,0,0
+5e+07ns,host2,1,0,0
+5e+07ns,host2,2,0,0
+5e+07ns,host2,3,0,7
+5e+07ns,host3,0,0,0
+5e+07ns,host3,1,0,11
+5e+07ns,host3,2,0,0
+5e+07ns,host4,0,0,7
+5e+07ns,host4,1,0,0
+5.1e+07ns,host0,0,0,7
+5.1e+07ns,host0,1,0,0
+5.1e+07ns,host1,0,0,0
+5.1e+07ns,host1,1,0,0
+5.1e+07ns,host1,2,0,7
+5.1e+07ns,host2,0,0,0
+5.1e+07ns,host2,1,0,0
+5.1e+07ns,host2,2,0,0
+5.1e+07ns,host2,3,0,7
+5.1e+07ns,host3,0,0,0
+5.1e+07ns,host3,1,0,11
+5.1e+07ns,host3,2,0,0
+5.1e+07ns,host4,0,0,7
+5.1e+07ns,host4,1,0,0
+5.2e+07ns,host0,0,0,7
+5.2e+07ns,host0,1,0,0
+5.2e+07ns,host1,0,0,0
+5.2e+07ns,host1,1,0,0
+5.2e+07ns,host1,2,0,7
+5.2e+07ns,host2,0,0,0
+5.2e+07ns,host2,1,0,0
+5.2e+07ns,host2,2,0,0
+5.2e+07ns,host2,3,0,7
+5.2e+07ns,host3,0,0,0
+5.2e+07ns,host3,1,0,11
+5.2e+07ns,host3,2,0,0
+5.2e+07ns,host4,0,0,7
+5.2e+07ns,host4,1,0,0
+5.3e+07ns,host0,0,0,7
+5.3e+07ns,host0,1,0,0
+5.3e+07ns,host1,0,0,0
+5.3e+07ns,host1,1,0,0
+5.3e+07ns,host1,2,0,7
+5.3e+07ns,host2,0,0,0
+5.3e+07ns,host2,1,0,0
+5.3e+07ns,host2,2,0,0
+5.3e+07ns,host2,3,0,7
+5.3e+07ns,host3,0,0,0
+5.3e+07ns,host3,1,0,11
+5.3e+07ns,host3,2,0,0
+5.3e+07ns,host4,0,0,7
+5.3e+07ns,host4,1,0,0
